Language Name,GPS N,GPS E,ISO,Stage,Work Location,Partners,US BPPP Partners?,Cross-Border,Prefecture,Scripture Access Plan,No. of Speakers,Lg. Family,"""Branche""",Related To,LSP Trans. Need,EGIDS,Survey,Anthro,Dialect Research,Word List,Interlin. Texts,Précis d'ortho.,ILA approuvé?,Phonology,Gramm.,Dico.,Disc.,Trans. Lit.,Basic Lit.,JESUS Film,Trauma Healing,% OT/NT drafted,Scripture Pub.,Scripture Recorded,DBL?,Team Start,SIL Contact,Coordinator,Coord. Ed.,Team Member 2,Team Member 2 Ed.,Team Member 3,Team Member 3 Ed.,Team Member 4,Team Member 4 Ed.,Lg. Location,Notes,Needs,,
SE tip,5.017020,27.446176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SW tip,2.222729,16.191252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sango,4.3783068,18.5359995,sag,Done,"Bangui, CAR","ACATBA, others",,CAR/Chad/DRC,NA,NA,1600000,creole,,Ngbandi,NA,,"Moser, 2012.",,,,,,Y,,,,,"Y, largest in ACATBA",,1988,storying trans. Alpha,published,Bible (new version 2012),NT FCBH 2003,Yes,,Rosmarie Moser (55 items in REAP for sag),?,,,,,,,,,only literacy and CD activity as of 2012,,,
Gbaya Northwest,6.0723613,15.0673001,gya,Done,Cameroon,Bible Society of Cameroon,,"Congo, Cameroon, Nigeria",NA,NA,267,"Ubangi, Gbaya",Gbaya,,NA,,,,,,,,Y,,Y,Y,,,,,,,Bible (1995-2011),,Yes,,,,,,,,,,,,,,,
Dagba,7.3002103,17.9147761,dgk,Done,Chad,Bibles Int'l,,CAR/Chad,NA,NA,44,"Nilo-Saharan, Sara",Sara,Kaba [ksp],NA,,,,,,,,Y,,,,,,,,,100%,"NT, 2017?",,No (01/2018),,,,,,,,,,,,NT to be completed in Chad with Bibles Int'l in 2017 (jvalentin@biblesint.org),,,
Kako,4.245150,15.135793,kkj,Done,Cameroon,,,Cameroon,NA,NA,,"Bantu, Northwest A, Kaka",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mbay,7.871620,17.459401,myb,Done,Chad,,,Chad/CAR,NA,NA,,"Sara, Sara Proper",Sara,,NA,,,,,,,,,,Y,Y,,Y,,,,,Bible 1980,,,,,,,,,,,,,,,,,
Sara Dunjo,,,(kwv),Done,Chad,,,Chad/CAR,NA,NA,,"Sara, Sara Proper, Sara Kaba. Sub-group of Kaba Naa, Sara",Sara,,NA,,,,,,,,,,,,,,,,,,"NT 1988 in Kaba Naa, Sara[kwv]",,,,,,,,,,,,,,,,,
Ngama,,,nmc,Done,Chad,,,Chad/CAR,NA,NA,,"Sara, Sara Proper",Sara Valé,,NA,,,,,,,,,,,,,,,,,,NT 1999,,,,,,,,,,,,,,,,,
Ngbaka (-Minagende),,,nga,Done,DRC,SIL,,Congo/DRC,NA,NA,1000000,"Ubangi, Gbaya",,"Esp. Ngbaka-Manza [ngg]. Also Ali [aiy], Bofi [bff], Mandja [mzv], Related to Gbaya languages of Central African Republic and Cameroon. (per Ethnologue)",,,"See Survey ""Minage"".",,,,,,,,,2000,,,Yes,2004,,,"Bible, 1995 (NT, 1983)",,,70's??,"Margaret Hill, Elaine Thomas (56 items in REAP for nga)",,,,,,,,,DRC,,,,
Zande,5.489049,25.415039,zne,Done,South Sudan,"AIM (others?), SIL South Sudan is the Strategy Entity",,DRC/CAR/South Sudan,NA,NA,1000000,"Ubangi, Zande",Zande,Nzakara?,NA,,,Some,,,,,Y,,,Y,,SIL South Sudan Branch,,,,100%,"Bible, 1978",,No (01/2018),,None?,,,,,,,,,,"5,000 Bibles to CAR and 5,000 to DRC in 2013 via Les and Mary Anne Harris, AIM (see email from Judith Sawers 11/27/13)",,,
Gbaya Southwest,4.423479,15.588959,gso,Done,"Bangui/Beberati, CAR","ACATBA, Seed Co., SIL",,no,,,220,"Ubangi, Gbaya",Gbaya,"Same family as Ngombe [nmj]. Bhogoto, Gbeya, et al.",NA,,,,survey,1700,3 at least,,Y,N,Y,short lexicon,N,N,,2012,,37%/Pub,NT in 2006,NT FCBH 2005,Yes,new 2011,"Adam Huntley, Esther Zubot, Christoph Ruckstuhl (CR replied), Keith Beavon?",Christian-Rodrigue NAKOUE,"FATEB, 2014",Alexis BONET-ZIB,iDelta,Anatole BEINA,iDelta,,,"wCAR, around Beberati",Ken to help, Rec'd BGAN in fall 2012?,Esther Z's work to be put in REAP, need K Spence's phon sketch for REAP (and others as they come avail.)
Manza,6.255624,18.593720,mzv,In Progress,"Bangui/Kaga-Bandoro, CAR","ACATBA, WBT USA, SIL",,no,,NA,220,"Ubangi, Gbaya",Gbaya,"Ali [aiy], Bofi [bff], Ngbaka Manza [ngg] (CAR), Ngbaka(-Minangende) [nga] (Bible, 1995)",NA (in progress),,"Probst, 1994",,none,data lost,"Y, not glossed (2014)",,Y/N,Y,Y,started,N,Trans. Guide,,,Bangui Tr. Cluster Beta,0/34%,,,,Oct 2009,Troy & Marjorie Moore (e'd Marjorie 10/25, finally got the stuff from K. Spence),Edmond NGODI,ATB*,Magloire ORPHE,,,,,,Kaga Bandoro,2007-8 local church requested pjt be restarted,"Does the revised orthography need approved by the ILA? academic support, team support. Paul is entering old lang. data into Flex. TM's Toolbox files are unreadable (maybe Dallas Lang. Serv. can help?)",
Lutos,8.364078,18.934296,ndy,In Progress,"Bangui/Ndele, CAR","ACATBA, WBT USA, SIL",,CAR/Chad,,NA,18,"Nilo-Saharan, Sara",Sara Valé,"Rito (same ISO) in Chad (NT, 2016?) & Vale [vae]. More distantly to Kaba, Dagba, (mostly Chadic lgs.)",NA (in progress),,"Speakers asking (per Elvis). Moehama, 1994.",,survey,200,,,frthcm.,,N,2000 words,,Trans. Guide,,N,Bangui Tr. Cluster Beta,0/49%,"Xmas story, 2011",,,Oct 2008,,Philippe N'DOCKO-N'DOUKOUA,FATEB*,Benjamin OUANGARA,iDelta?,Emmanuel KAGZIMA,"FATEB, 2014",,,"nCAR, around Ndele",Ken to help (indeed visited in Oct 2012 and ? and Oct 2017),needs academic and team support,,
Banda-Linda,6.165519,21.351288,liy,In Progress,"Bambari, CAR","ACATBA, Seed Co., SIL",,no,,NA,183,"Ubangi, Banda, Central Core, Banda-Bambari",Banda,"May also serve Banda-Mbrès [bqk], Banda-Yangere [yaj] and Yakpa/Banda Mid-Southern [bjo] (among others??). Also Banda-Ndélé [bfl] (So. Sudan).",NA (in progress),,"Bluhberger, 2009. (See also survey of ""Gbende"" and of ""Djoto"")",,Bluhberger's survey mentions a dialect survey that took place in 1994. I think this refers to the Gbende survey report.,1700,not glossed (2014),Dec-17,frthcm.,,N,,,N,,2012,,12/55%,Luke?,,,Oct 2008,,Clarence MBAKOSSI,FATEB,Pascal Isidore DAKPA,iDelta FY16-18 (trans->PSE),Alfred SIANGO,FATEB,Jacob ENDJANDJI,,"cCAR, around and between Bambari & Ippy",Ken to help (indeed visited in Oct 2012), Doug Sampson (SIL) worked in a related lg. in Sudan and would like to be kept in the loop of developments., Rec'd BGAN fall 2012.,
Bhogoto,4.609017,16.977938,bdt,In Progress,"Carnot, CAR","ACATBA, Seed Co., SIL",,no,,NA,130,"Ubangi, Gbaya",Gbaya,"Gbanu [gbv], Gbeya [gbp], Gbaya-Bozoum [gbq]. And Gbaya Northwest [gya] (see Survey note).",NA (in progress),,"Bluhberger, 1994, ""unlikely translation need""",,none,1700,3 at least,,Approved,Y,Y,Y,some,Trans. Guide,,2012,,22/45%,Luke?,,,Oct 2008,Kathleen Spence,Celestin PAIMO,,Etienne NGAIBELE,pastor,Edouard KOYA,FATEB (didn't grad.),,,"between Carnot, Boaro & Boda",Rec'd BGAN fall 2012. Still in Carnot (March 2014),,,
Mpyemo,3.464168,15.664106,mcx,In Progress,"Bangui/Nola, CAR","ACATBA, Seed Co., SIL",,CAR/Cameroon/Congo,,NA,29,"Bantu, A",Ngbaka,Possibly Bekwel (Congo). Possibly Koonzime [ozm] of Cameroon which has lots of materials.,NA (in progress),,"Duke, 1996, ""Likely translation need"", Also Beth Brye's? (1988)",,survey,1700,Y,,frthcm.,Y,Some,In progress,Y,Y,,2012,,6/53%,Luke,,,2000,"Festens, Murrells, Keith & Mary Beavon (e'd Keith 10/19X)",Mathurin PATOUMBO-ANAM,att. ATP,Constantin SOLO-MENANI,iDelta FY16-18 (Trans),,,,,"around Nola, swCAR",Murrells and Festens handed it over in 2011. Rec'd BGAN fall 2012., Ken visited in Oct 2012, Using volunteer translators as of July 2014,
Gbeya,6.675302,17.627303,gbp,Near to Publishing,"Bossangoa, CAR","ACATBA, WBT USA, SIL",,no,,NA,200,"Ubangi, Gbaya",Gbaya,"Gbaya [gso], Bhogoto [bdt], Suma [sqm], Gbaya-Bozoum [gbq], et al.",NA (in progress),,"Bluhberger, 1994",,survey,no,3 at least,,Y/N,Y,Y,due soon,2009,Trans. Guide,,2001,Bozoum Tr. Cluster (FY18),60/75%,2017??,,,1996/99,"Eric & Vania Nicklaus (X), Will Sawers (X), Christoph Ruckstuhl (CR replied)",Francis FEIDANGAI,"SIL Lit. , FATEB? Lic. en Theologie (2018?)",Benoit NEZOUFEI,"FATEB, CiT",Damien GALA,iDelta,,,"nwCAR, area around Bossangoa",anticipated NT publication in 2015,,,
Kaba,7.439638,16.494689,ksp,Near to Publishing,"Bangui/Paoua, CAR","ACATBA, WBT USA, SIL",,CAR/Chad,,NA,83,"Sara, Sara Proper",Sara,"Lutos, Dagba [dgk], Laka [lap] (mostly Chadic lgs.), Betina mentiones also ""Kaba Markounda"" (name of town), though not yet mentioned in the Ethnologue.",NA (in progress),,"Stalder, 1994.",,survey,200,2,,Y/N,Y,Y,5000 collected,2009 not applied,Trans. Guide,,2012,Bozoum Tr. Cluster (FY18),15/96%,portions,,,1995/99,"Rosmarie Moser (X), Hansueli & Ursula Grundbacher (e'd Ursula 10/25 -no email for Hans), Connie KL (Ling. Consultant)",,"FATEB (2 yr.), iDelta FY16",Victor NOUDJOUMDINA,Lang. Software,Constant BANTAR-NDJIMTOLOUM,"iDelta, FY16",Jérémie LAOUKOURA,Master's at Brethren Sem.,"nwCAR, around Paoua",anticipated NT publication in 2019, Dagba (Bibles Int'l) NT to be published 2017,,
Ngbugu,4.481058,21.319625,lnl,Near to Publishing,"Alindao, CAR","ACATBA, WBT UK, SIL",,CAR/DRC,,NA,153,"Ubangi, Banda, South central",Banda,Langbashe [lna] (DRC),NA (in progress),,"Kieschke, 1993, ""likely translation need""",,survey,,,,Y,Y,,,2009,Trans. Guide,,2012,,0/100%,"Luke, Matt, Ruth",,,1994,"Ken Olson, Régine Théret (dec.), Melissa Parsons (in contact)",Tychique LONGBO,iDelta,Jesse-Joel ADOUMACHO,iDelta FY16-18 (trans),Guy ???,,,,"sCAR, around Alindao","May have lost all work from April-July 2014 (no s/r, stolen computer). See Ngbugu Biblio in OneNote","archive Melissa's info (via dropbox); She is hoping to start working on it again this fall (2014): Update - Melissa never put anything in the dropbox folder, Ken sent me her grammar sketch (to be archived), a few more items remain unrecovered, possibly on ACATBA's server. See Ken's response 1/21/15.",,
Nzakara,5.000276,22.361629,nzk,Near to Publishing,"Bangassou, CAR","ACATBA, WBT USA, WBT Suisse, SIL",,CAR/DRC,,NA,50,"Ubangi, Zande",Zande,Zande?,NA (in progress),,,Some,,200,Y,,Y/N,Y,,started but not entered,2009,Trans. Guide,,2012,,0/53%,Luke,,,Oct 2002,,Francois SABOUNDOU,FATEB (2 yr.) & BA in Ling. From BU,NAGUILI Primael- Elie (new as of 2015),iDelta FY16-18 (Alpha),,,,,"scCAR, around Bangassou and north to Bakouma",anticipated NT publication in 2015, possible future team member (see note),"make Emmanuel's thesis accessible to team (Beth has a copy), archive in REAP (e'd Brian on 10/20/17)",
